Central Processing Unit|Computer Personal Unit|Central Process Unit|Central Processor Unit
JavaScript|Python|HTML|Java
Hyper Text Markup Language|High Tech Modern Language|Hyper Transfer Markup Language|Home Tool Markup Language
Queue|Stack|Array|Linked List
O(n)|O(log n)|O(n^2)|O(1)
Kotlin|Swift|Java|C#
Structured Query Language|Simple Query Language|Standard Query Language|System Query Language
Execute code|Translate code|Debug code|Optimize code
//|/*|#|--
Object-Oriented Programming|Object-Oriented Protocol|Object-Oriented Process|Object-Oriented Pattern
public|private|protected|default
Array|Linked List|Hash Table|Queue
Application Programming Interface|Application Program Interface|Advanced Programming Interface|Automated Programming Interface
extends|inherits|implements|super
2 bytes|4 bytes|8 bytes|Depends on compiler
Uniform Resource Locator|Universal Resource Locator|Uniform Reference Locator|Universal Reference Locator
new|malloc|alloc|create
Multiple forms|Data hiding|Code reuse|Memory management
Cascading Style Sheets|Computer Style Sheets|Creative Style Sheets|Colorful Style Sheets
HTTPS|FTP|TCP|UDP
Special method|Variable type|Data structure|Loop type
Integrated Development Environment|Integrated Debugging Environment|Interactive Development Environment|Intelligent Development Environment
for loop|while loop|do-while loop|if-else
== checks value, === checks value and type|== checks type, === checks value|No difference|== is assignment, === is comparison
JavaScript Object Notation|Java Standard Object Notation|JavaScript Oriented Notation|Java System Object Notation
Merge Sort|Quick Sort|Bubble Sort|Insertion Sort
Function calling itself|Loop structure|Conditional statement|Variable declaration
Domain Name System|Domain Network System|Data Name System|Digital Name System
Python|Java|C++|HTML
Memory address|Variable type|Function|Class
HyperText Transfer Protocol|High Transfer Protocol|Hyper Transfer Protocol|Host Transfer Protocol
Stack|Queue|Array|Tree
Data hiding|Multiple forms|Code reuse|Function overloading
Virtual Machine|Virtual Memory|Visual Machine|Variable Memory
Python|Java|C++|Ruby
Memory management|Code execution|Error handling|Input/output
Random Access Memory|Read Access Memory|Rapid Access Memory|Random Allocation Memory
const|final|static|constant
Class that can't be instantiated|Class with only static methods|Class with no variables|Class with only private methods
Secure Sockets Layer|Secure System Layer|Security Socket Layer|System Security Layer
delete|free|remove|destroy
Code reuse|Data hiding|Multiple forms|Encapsulation
eXtensible Markup Language|Extended Markup Language|Extra Markup Language|Example Markup Language
Swift|Kotlin|Java|Objective-C
Stack: LIFO, Heap: dynamic|Stack: FIFO, Heap: LIFO|No difference|Stack: dynamic, Heap: static
